Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,0.66,0.68,0.63,0.68,98100,0.68
2014-06-12,0.64,0.68,0.64,0.68,92200,0.68
2014-06-11,0.66,0.67,0.65,0.66,63700,0.66
2014-06-10,0.68,0.68,0.63,0.65,36200,0.65
2014-06-09,0.69,0.69,0.61,0.65,257000,0.65
2014-06-06,0.70,0.70,0.68,0.68,85500,0.68
2014-06-05,0.72,0.73,0.69,0.70,162500,0.70
2014-06-04,0.68,0.70,0.67,0.67,65900,0.67
2014-06-03,0.70,0.70,0.68,0.68,72100,0.68
2014-06-02,0.73,0.73,0.68,0.69,238500,0.69
2014-05-30,0.76,0.77,0.68,0.70,513800,0.70
2014-05-29,0.74,0.74,0.68,0.73,247400,0.73
2014-05-28,0.73,0.75,0.69,0.73,1462700,0.73
2014-05-27,0.67,0.73,0.66,0.73,1164500,0.73
2014-05-23,0.65,0.68,0.65,0.66,69400,0.66
2014-05-22,0.68,0.69,0.65,0.67,160400,0.67
2014-05-21,0.65,0.68,0.65,0.67,92000,0.67
2014-05-20,0.66,0.67,0.64,0.65,256600,0.65
2014-05-19,0.66,0.67,0.64,0.67,50200,0.67
2014-05-16,0.66,0.67,0.66,0.66,31400,0.66
2014-05-15,0.68,0.68,0.66,0.66,59000,0.66
2014-05-14,0.70,0.72,0.67,0.68,534500,0.68
2014-05-13,0.63,0.69,0.63,0.68,215300,0.68
2014-05-12,0.63,0.64,0.62,0.63,202000,0.63
2014-05-09,0.63,0.64,0.62,0.63,129600,0.63
2014-05-08,0.64,0.64,0.61,0.63,35700,0.63
2014-05-07,0.59,0.64,0.59,0.62,20700,0.62
2014-05-06,0.59,0.61,0.59,0.60,55400,0.60
2014-05-05,0.60,0.60,0.58,0.59,102800,0.59
2014-05-02,0.60,0.62,0.59,0.61,85900,0.61
2014-05-01,0.61,0.61,0.58,0.60,98400,0.60
2014-04-30,0.62,0.64,0.60,0.61,168600,0.61
2014-04-29,0.63,0.63,0.60,0.62,85800,0.62
2014-04-28,0.63,0.65,0.61,0.63,244500,0.63
2014-04-25,0.61,0.65,0.61,0.62,179900,0.62
2014-04-24,0.61,0.62,0.59,0.61,47800,0.61
2014-04-23,0.60,0.62,0.60,0.62,52100,0.62
2014-04-22,0.61,0.62,0.60,0.61,72100,0.61
2014-04-21,0.63,0.65,0.61,0.61,106400,0.61
2014-04-17,0.65,0.65,0.62,0.62,177400,0.62
2014-04-16,0.59,0.65,0.59,0.65,313500,0.65
2014-04-15,0.62,0.62,0.57,0.58,301900,0.58
2014-04-14,0.61,0.64,0.61,0.62,28700,0.62
2014-04-11,0.62,0.63,0.61,0.61,81900,0.61
2014-04-10,0.62,0.67,0.61,0.63,261700,0.63
2014-04-09,0.59,0.65,0.59,0.63,248600,0.63
2014-04-08,0.59,0.60,0.57,0.59,105700,0.59
2014-04-07,0.62,0.63,0.59,0.61,360000,0.61
2014-04-04,0.64,0.65,0.60,0.61,95200,0.61
2014-04-03,0.62,0.62,0.60,0.62,102200,0.62
2014-04-02,0.61,0.61,0.56,0.61,370100,0.61
2014-04-01,0.60,0.60,0.56,0.59,67800,0.59
2014-03-31,0.57,0.60,0.55,0.59,322700,0.59
2014-03-28,0.54,0.58,0.53,0.57,148900,0.57
2014-03-27,0.55,0.60,0.55,0.55,453600,0.55
2014-03-26,0.59,0.62,0.55,0.55,634100,0.55
2014-03-25,0.62,0.66,0.58,0.62,797000,0.62
2014-03-24,0.70,0.70,0.60,0.63,309900,0.63
2014-03-21,0.60,0.70,0.59,0.70,853500,0.70
2014-03-20,0.64,0.64,0.59,0.60,186400,0.60
2014-03-19,0.68,0.69,0.63,0.63,216200,0.63
2014-03-18,0.66,0.68,0.63,0.67,160800,0.67
2014-03-17,0.65,0.68,0.63,0.66,899400,0.66
2014-03-14,0.57,0.65,0.57,0.62,769500,0.62
2014-03-13,0.57,0.58,0.56,0.57,78300,0.57
2014-03-12,0.57,0.59,0.57,0.57,159600,0.57
2014-03-11,0.59,0.61,0.56,0.57,254100,0.57
2014-03-10,0.57,0.62,0.57,0.58,574200,0.58
2014-03-07,0.57,0.60,0.56,0.56,314900,0.56
2014-03-06,0.57,0.59,0.55,0.57,165800,0.57
2014-03-05,0.56,0.57,0.56,0.56,26200,0.56
2014-03-04,0.56,0.57,0.55,0.56,151800,0.56
2014-03-03,0.55,0.58,0.55,0.57,61300,0.57
2014-02-28,0.57,0.58,0.55,0.55,74900,0.55
2014-02-27,0.57,0.57,0.55,0.57,49000,0.57
2014-02-26,0.55,0.58,0.55,0.57,86500,0.57
2014-02-25,0.58,0.59,0.55,0.58,267300,0.58
2014-02-24,0.56,0.60,0.56,0.59,174400,0.59
2014-02-21,0.57,0.58,0.53,0.57,99200,0.57
2014-02-20,0.54,0.62,0.53,0.57,364100,0.57
2014-02-19,0.55,0.56,0.53,0.54,153000,0.54
2014-02-18,0.52,0.55,0.51,0.55,124300,0.55
2014-02-14,0.52,0.54,0.51,0.51,225900,0.51
2014-02-13,0.55,0.56,0.50,0.52,355400,0.52
2014-02-12,0.54,0.56,0.54,0.55,66200,0.55
2014-02-11,0.57,0.57,0.53,0.54,146300,0.54
2014-02-10,0.51,0.57,0.51,0.57,194300,0.57
2014-02-07,0.52,0.55,0.51,0.54,226800,0.54
2014-02-06,0.49,0.54,0.49,0.52,306600,0.52
2014-02-05,0.51,0.51,0.49,0.50,188000,0.50
2014-02-04,0.51,0.52,0.50,0.50,386300,0.50
2014-02-03,0.51,0.54,0.50,0.50,333700,0.50
2014-01-31,0.53,0.57,0.51,0.51,460600,0.51
2014-01-30,0.52,0.59,0.50,0.54,719600,0.54
2014-01-29,0.51,0.52,0.48,0.50,198200,0.50
2014-01-28,0.50,0.53,0.50,0.51,102000,0.51
2014-01-27,0.54,0.54,0.50,0.50,279000,0.50
2014-01-24,0.58,0.58,0.52,0.54,265000,0.54
2014-01-23,0.59,0.59,0.54,0.56,329200,0.56
2014-01-22,0.64,0.66,0.58,0.60,575000,0.60
2014-01-21,0.57,0.65,0.56,0.64,867400,0.64
2014-01-17,0.57,0.59,0.54,0.56,145100,0.56
2014-01-16,0.57,0.58,0.53,0.58,178400,0.58
2014-01-15,0.55,0.59,0.54,0.58,950400,0.58
2014-01-14,0.51,0.57,0.50,0.53,427800,0.53
2014-01-13,0.52,0.54,0.51,0.51,87700,0.51
2014-01-10,0.51,0.53,0.51,0.52,85500,0.52
2014-01-09,0.55,0.55,0.54,0.55,14400,0.55
2014-01-08,0.57,0.57,0.53,0.55,55000,0.55
2014-01-07,0.56,0.57,0.55,0.56,98000,0.56
2014-01-06,0.60,0.60,0.53,0.53,61400,0.53
2014-01-03,0.53,0.61,0.51,0.55,571200,0.55
2014-01-02,0.56,0.56,0.51,0.53,37600,0.53
2013-12-31,0.53,0.55,0.51,0.53,195900,0.53
2013-12-30,0.53,0.57,0.51,0.53,191600,0.53
2013-12-27,0.56,0.56,0.48,0.53,129100,0.53
2013-12-26,0.55,0.55,0.52,0.52,14300,0.52
2013-12-24,0.52,0.55,0.52,0.53,37300,0.53
